Date,Sender,Subject,Body
6/23/2020 18:28:33,Rukus Cycling Studios - ATL Beltline <atlbeltline@rukusfranchise.com>,Rukus | Ride Results,"

RukusPrime 
Jun 23rd 5:45 PM @ 5:45 PM 
437
CALORIES
272
POINTS 
5
RANK
10.2mi
DISTANCE (MI) 
71 / 134
AVG/MAX RPM
112 / 276
AVG/MAX WATTS 
17.0 / 24.6
AVG/MAX mph
0 / 0
AVG/MAX HR 
MINUTES IN RPM ZONES 
0
ZONE 1
20
ZONE 2
8
ZONE 3
15
ZONE 4
0
ZONE 5 
SHARE RESULTS 
<https://www.facebook.com/dialog/share?app_id=957944997560473&display=popup&redirect_uri=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=133599480&href=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=133599480&picture=https%3A%2F%2Fwww.fitmetrix.io%2Fimages%2Fsocial%2Fsharing.png&caption=Rukus+-+ATL+Beltline&description=I%20just%20burned%20437%20calories%20in%2043%20minutes%20working%20out%20at%20Rukus 
Cycling Studios%20Rukus - ATL Beltline.> 
BOOK A CLASS <https://gocyclenow.com> 

SPRINT PONTS RANK
1st: 45 sec 4 4
2nd: 30 sec 3 5
3rd: [SPRINT3TIME] sec [SPRINT3POINTS] [SPRINT3RANK] 

[image: Rate Justin]
RATE YOUR CYCLEPRO
Justin
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=1&id=133599480&iid=338771&n=Justin> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=2&id=133599480&iid=338771&n=Justin> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=3&id=133599480&iid=338771&n=Justin> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=4&id=133599480&iid=338771&n=Justin> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=5&id=133599480&iid=338771&n=Justin> 

WEEKLY TOTALS
409/1229
AVG / MAX CAL
2h 10m
TOTAL WORKOUT TIME
MONTHLY TOTALS
358/1793
AVG / MAX CAL
3h 35m
TOTAL WORKOUT TIME
https://gocyclenow.com • (470) 260-7746 <+1(470) 260-7746> • 
atlbeltline@rukusfranchise.com 
<https://www.facebook.com/RukusBeltLine/> 
<https://www.instagram.com/rukusbeltline> <https://twitter.com/GoCycleNow>"
6/28/2020 10:42:32,Rukus Cycling Studios - ATL Beltline <atlbeltline@rukusfranchise.com>,Rukus | Ride Results,"

RukusPrime 
Jun 28th 10:00 AM @ 10:00 AM 
325
CALORIES
205
POINTS 
3
RANK
10.7mi
DISTANCE (MI) 
65 / 119
AVG/MAX RPM
86 / 198
AVG/MAX WATTS 
16.0 / 25.1
AVG/MAX mph
0 / 0
AVG/MAX HR 
MINUTES IN RPM ZONES 
0
ZONE 1
25
ZONE 2
7
ZONE 3
8
ZONE 4
0
ZONE 5 
SHARE RESULTS 
<https://www.facebook.com/dialog/share?app_id=957944997560473&display=popup&redirect_uri=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=133877665&href=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=133877665&picture=https%3A%2F%2Fwww.fitmetrix.io%2Fimages%2Fsocial%2Fsharing.png&caption=Rukus+-+ATL+Beltline&description=I%20just%20burned%20325%20calories%20in%2042%20minutes%20working%20out%20at%20Rukus 
Cycling Studios%20Rukus - ATL Beltline.> 
BOOK A CLASS <https://gocyclenow.com> 

SPRINT PONTS RANK
1st: 30 sec 2 5
2nd: 30 sec 2 4
3rd: [SPRINT3TIME] sec [SPRINT3POINTS] [SPRINT3RANK] 

[image: Rate Sam]
RATE YOUR CYCLEPRO
Sam
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=1&id=133877665&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=2&id=133877665&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=3&id=133877665&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=4&id=133877665&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=5&id=133877665&iid=382939&n=Sam> 

WEEKLY TOTALS
371/1113
AVG / MAX CAL
2h 7m
TOTAL WORKOUT TIME
MONTHLY TOTALS
353/2118
AVG / MAX CAL
4h 17m
TOTAL WORKOUT TIME
https://gocyclenow.com • (470) 260-7746 <+1(470) 260-7746> • 
atlbeltline@rukusfranchise.com 
<https://www.facebook.com/RukusBeltLine/> 
<https://www.instagram.com/rukusbeltline> <https://twitter.com/GoCycleNow>"
7/12/2020 10:42,Rukus Cycling Studios - ATL Beltline <atlbeltline@rukusfranchise.com>,Rukus | Ride Results,"

RukusPrime 
Jul 12th 10:00 AM @ 10:00 AM 
463
CALORIES
288
POINTS 
3
RANK
12.4mi
DISTANCE (MI) 
69 / 131
AVG/MAX RPM
122 / 232
AVG/MAX WATTS 
18.0 / 23.2
AVG/MAX mph
0 / 0
AVG/MAX HR 
MINUTES IN RPM ZONES 
0
ZONE 1
24
ZONE 2
6
ZONE 3
11
ZONE 4
0
ZONE 5 
SHARE RESULTS 
<https://www.facebook.com/dialog/share?app_id=957944997560473&display=popup&redirect_uri=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=134720551&href=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=134720551&picture=https%3A%2F%2Fwww.fitmetrix.io%2Fimages%2Fsocial%2Fsharing.png&caption=Rukus+-+ATL+Beltline&description=I%20just%20burned%20463%20calories%20in%2042%20minutes%20working%20out%20at%20Rukus 
Cycling Studios%20Rukus - ATL Beltline.> 
BOOK A CLASS <https://gocyclenow.com> 

SPRINT PONTS RANK
1st: 30 sec 3 5
2nd: 30 sec 2 5
3rd: [SPRINT3TIME] sec [SPRINT3POINTS] [SPRINT3RANK] 

[image: Rate Sam]
RATE YOUR CYCLEPRO
Sam
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=1&id=134720551&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=2&id=134720551&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=3&id=134720551&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=4&id=134720551&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=5&id=134720551&iid=382939&n=Sam> 

WEEKLY TOTALS
390/1171
AVG / MAX CAL
1h 51m
TOTAL WORKOUT TIME
MONTHLY TOTALS
313/2506
AVG / MAX CAL
4h 43m
TOTAL WORKOUT TIME
https://gocyclenow.com • (470) 260-7746 <+1(470) 260-7746> • 
atlbeltline@rukusfranchise.com 
<https://www.facebook.com/RukusBeltLine/> 
<https://www.instagram.com/rukusbeltline> <https://twitter.com/GoCycleNow>"
8/26/2020 19:35:12,Rukus Cycling Studios - ATL Beltline <atlbeltline@rukusfranchise.com>,Rukus | Ride Results,"

EXPLICIT | Roddy Ricch vs Rod Wave - RukusPrime
Aug 26th 7:00 PM @ 7:00 PM 
395
CALORIES
246
POINTS 
3
RANK
10.6mi
DISTANCE (MI) 
61 / 112
AVG/MAX RPM
126 / 212
AVG/MAX WATTS 
18.0 / 22.4
AVG/MAX mph
0 / 0
AVG/MAX HR 
MINUTES IN RPM ZONES 
5
ZONE 1
18
ZONE 2
4
ZONE 3
7
ZONE 4
0
ZONE 5 
SHARE RESULTS 
<https://www.facebook.com/dialog/share?app_id=957944997560473&display=popup&redirect_uri=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=137776960&href=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=137776960&picture=https%3A%2F%2Fwww.fitmetrix.io%2Fimages%2Fsocial%2Fsharing.png&caption=Rukus+-+ATL+Beltline&description=I%20just%20burned%20395%20calories%20in%2035%20minutes%20working%20out%20at%20Rukus 
Cycling Studios%20Rukus - ATL Beltline.> 
BOOK A CLASS <https://gocyclenow.com> 

SPRINT PONTS RANK
1st: 30 sec 3 3
2nd: 30 sec 2 11
3rd: [SPRINT3TIME] sec [SPRINT3POINTS] [SPRINT3RANK] 

[image: Rate Rod]
RATE YOUR CYCLEPRO
Rod
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=1&id=137776960&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=2&id=137776960&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=3&id=137776960&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=4&id=137776960&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=5&id=137776960&iid=407089&n=Rod> 

WEEKLY TOTALS
413/827
AVG / MAX CAL
1h 18m
TOTAL WORKOUT TIME
MONTHLY TOTALS
424/2544
AVG / MAX CAL
4h 4m
TOTAL WORKOUT TIME
https://gocyclenow.com • (470) 260-7746 <+1(470) 260-7746> • 
atlbeltline@rukusfranchise.com 
<https://www.facebook.com/RukusBeltLine/> 
<https://www.instagram.com/rukusbeltline> <https://twitter.com/GoCycleNow>"
9/01/2020 18:26,Rukus Cycling Studios - ATL Beltline <atlbeltline@rukusfranchise.com>,Rukus | Ride Results,"

RukusPrime
Sep 1st 5:45 PM @ 5:45 PM 
461
CALORIES
283
POINTS 
4
RANK
11.9mi
DISTANCE (MI) 
57 / 110
AVG/MAX RPM
126 / 242
AVG/MAX WATTS 
18.0 / 23.5
AVG/MAX mph
0 / 0
AVG/MAX HR 
MINUTES IN RPM ZONES 
5
ZONE 1
25
ZONE 2
2
ZONE 3
7
ZONE 4
0
ZONE 5 
SHARE RESULTS 
<https://www.facebook.com/dialog/share?app_id=957944997560473&display=popup&redirect_uri=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=138251388&href=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=138251388&picture=https%3A%2F%2Fwww.fitmetrix.io%2Fimages%2Fsocial%2Fsharing.png&caption=Rukus+-+ATL+Beltline&description=I%20just%20burned%20461%20calories%20in%2040%20minutes%20working%20out%20at%20Rukus 
Cycling Studios%20Rukus - ATL Beltline.> 
BOOK A CLASS <https://gocyclenow.com> 

SPRINT PONTS RANK
1st: 30 sec 3 4
2nd: 30 sec 2 5
3rd: [SPRINT3TIME] sec [SPRINT3POINTS] [SPRINT3RANK] 

[image: Rate Justin]
RATE YOUR CYCLEPRO
Justin
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=1&id=138251388&iid=338771&n=Justin> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=2&id=138251388&iid=338771&n=Justin> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=3&id=138251388&iid=338771&n=Justin> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=4&id=138251388&iid=338771&n=Justin> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=5&id=138251388&iid=338771&n=Justin> 

WEEKLY TOTALS
395/1186
AVG / MAX CAL
1h 46m
TOTAL WORKOUT TIME
MONTHLY TOTALS
409/2868
AVG / MAX CAL
4h 32m
TOTAL WORKOUT TIME
https://gocyclenow.com • (470) 260-7746 <+1(470) 260-7746> • 
atlbeltline@rukusfranchise.com 
<https://www.facebook.com/RukusBeltLine/> 
<https://www.instagram.com/rukusbeltline> <https://twitter.com/GoCycleNow>"
9/09/2020 18:26,Rukus Cycling Studios - ATL Beltline <atlbeltline@rukusfranchise.com>,Rukus | Ride Results,"

RukusPrime
Sep 9th 5:45 PM @ 5:45 PM 
467
CALORIES
292
POINTS 
6
RANK
12.4mi
DISTANCE (MI) 
57 / 104
AVG/MAX RPM
127 / 222
AVG/MAX WATTS 
18.0 / 22.8
AVG/MAX mph
0 / 0
AVG/MAX HR 
MINUTES IN RPM ZONES 
4
ZONE 1
24
ZONE 2
6
ZONE 3
5
ZONE 4
0
ZONE 5 
SHARE RESULTS 
<https://www.facebook.com/dialog/share?app_id=957944997560473&display=popup&redirect_uri=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=138904170&href=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=138904170&picture=https%3A%2F%2Fwww.fitmetrix.io%2Fimages%2Fsocial%2Fsharing.png&caption=Rukus+-+ATL+Beltline&description=I%20just%20burned%20467%20calories%20in%2041%20minutes%20working%20out%20at%20Rukus 
Cycling Studios%20Rukus - ATL Beltline.> 
BOOK A CLASS <https://gocyclenow.com> 

SPRINT PONTS RANK
1st: 20 sec 2 11
2nd: 30 sec 2 10
3rd: [SPRINT3TIME] sec [SPRINT3POINTS] [SPRINT3RANK] 

[image: Rate Sam]
RATE YOUR CYCLEPRO
Sam
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=1&id=138904170&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=2&id=138904170&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=3&id=138904170&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=4&id=138904170&iid=382939&n=Sam> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=5&id=138904170&iid=382939&n=Sam> 

WEEKLY TOTALS
458/917
AVG / MAX CAL
1h 22m
TOTAL WORKOUT TIME
MONTHLY TOTALS
416/3335
AVG / MAX CAL
5h 12m
TOTAL WORKOUT TIME
https://gocyclenow.com • (470) 260-7746 <+1(470) 260-7746> • 
atlbeltline@rukusfranchise.com 
<https://www.facebook.com/RukusBeltLine/> 
<https://www.instagram.com/rukusbeltline> <https://twitter.com/GoCycleNow>"
9/15/2020 19:47:13,Rukus Cycling Studios - ATL Beltline <atlbeltline@rukusfranchise.com>,Rukus | Ride Results,"

EXPLICIT | Tuesday w/ T.I. + T-Pain - RukusPrime 
Sep 15th 7:00 PM @ 7:00 PM 
550
CALORIES
341
POINTS 
5
RANK
13.9mi
DISTANCE (MI) 
57 / 105
AVG/MAX RPM
129 / 244
AVG/MAX WATTS 
19.0 / 23.6
AVG/MAX mph
0 / 0
AVG/MAX HR 
MINUTES IN RPM ZONES 
5
ZONE 1
28
ZONE 2
8
ZONE 3
5
ZONE 4
0
ZONE 5 
SHARE RESULTS 
<https://www.facebook.com/dialog/share?app_id=957944997560473&display=popup&redirect_uri=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=139367775&href=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=139367775&picture=https%3A%2F%2Fwww.fitmetrix.io%2Fimages%2Fsocial%2Fsharing.png&caption=Rukus+-+ATL+Beltline&description=I%20just%20burned%20550%20calories%20in%2047%20minutes%20working%20out%20at%20Rukus 
Cycling Studios%20Rukus - ATL Beltline.> 
BOOK A CLASS <https://gocyclenow.com> 

SPRINT PONTS RANK
1st: 30 sec 2 10
2nd: 30 sec 3 10
3rd: [SPRINT3TIME] sec [SPRINT3POINTS] [SPRINT3RANK] 

[image: Rate Jess]
RATE YOUR CYCLEPRO
Jess
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=1&id=139367775&iid=338775&n=Jess> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=2&id=139367775&iid=338775&n=Jess> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=3&id=139367775&iid=338775&n=Jess> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=4&id=139367775&iid=338775&n=Jess> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=5&id=139367775&iid=338775&n=Jess> 

WEEKLY TOTALS
508/1017
AVG / MAX CAL
1h 28m
TOTAL WORKOUT TIME
MONTHLY TOTALS
441/3528
AVG / MAX CAL
5h 20m
TOTAL WORKOUT TIME
https://gocyclenow.com • (470) 260-7746 <+1(470) 260-7746> • 
atlbeltline@rukusfranchise.com 
<https://www.facebook.com/RukusBeltLine/> 
<https://www.instagram.com/rukusbeltline> <https://twitter.com/GoCycleNow>"
9/20/2020 11:11:39,Rukus Cycling Studios - ATL Beltline <atlbeltline@rukusfranchise.com>,Rukus | Ride Results,"

RukusPrime
Sep 20th 10:30 AM @ 10:30 AM 
508
CALORIES
316
POINTS 
3
RANK
13.0mi
DISTANCE (MI) 
52 / 114
AVG/MAX RPM
136 / 225
AVG/MAX WATTS 
19.0 / 22.9
AVG/MAX mph
0 / 0
AVG/MAX HR 
MINUTES IN RPM ZONES 
10
ZONE 1
24
ZONE 2
4
ZONE 3
2
ZONE 4
0
ZONE 5 
SHARE RESULTS 
<https://www.facebook.com/dialog/share?app_id=957944997560473&display=popup&redirect_uri=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=139689585&href=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=139689585&picture=https%3A%2F%2Fwww.fitmetrix.io%2Fimages%2Fsocial%2Fsharing.png&caption=Rukus+-+ATL+Beltline&description=I%20just%20burned%20508%20calories%20in%2041%20minutes%20working%20out%20at%20Rukus 
Cycling Studios%20Rukus - ATL Beltline.> 
BOOK A CLASS <https://gocyclenow.com> 

SPRINT PONTS RANK
1st: 20 sec 2 8
2nd: 20 sec 2 6
3rd: [SPRINT3TIME] sec [SPRINT3POINTS] [SPRINT3RANK] 

[image: Rate Rod]
RATE YOUR CYCLEPRO
Rod
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=1&id=139689585&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=2&id=139689585&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=3&id=139689585&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=4&id=139689585&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=5&id=139689585&iid=407089&n=Rod> 

WEEKLY TOTALS
529/1058
AVG / MAX CAL
1h 29m
TOTAL WORKOUT TIME
MONTHLY TOTALS
451/3161
AVG / MAX CAL
4h 37m
TOTAL WORKOUT TIME
https://gocyclenow.com • (470) 260-7746 <+1(470) 260-7746> • 
atlbeltline@rukusfranchise.com 
<https://www.facebook.com/RukusBeltLine/> 
<https://www.instagram.com/rukusbeltline> <https://twitter.com/GoCycleNow>"
10/11/2020 11:13,Rukus Cycling Studios - ATL Beltline <atlbeltline@rukusfranchise.com>,Rukus | Ride Results,"

RukusPrime
Oct 11th 10:30 AM @ 10:30 AM 
493
CALORIES
306
POINTS 
3
RANK
12.5mi
DISTANCE (MI) 
51 / 105
AVG/MAX RPM
130 / 238
AVG/MAX WATTS 
19.0 / 23.4
AVG/MAX mph
0 / 0
AVG/MAX HR 
MINUTES IN RPM ZONES 
8
ZONE 1
29
ZONE 2
1
ZONE 3
2
ZONE 4
0
ZONE 5 
SHARE RESULTS 
<https://www.facebook.com/dialog/share?app_id=957944997560473&display=popup&redirect_uri=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=141595788&href=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=141595788&picture=https%3A%2F%2Fwww.fitmetrix.io%2Fimages%2Fsocial%2Fsharing.png&caption=Rukus+-+ATL+Beltline&description=I%20just%20burned%20493%20calories%20in%2042%20minutes%20working%20out%20at%20Rukus 
Cycling Studios%20Rukus - ATL Beltline.> 
BOOK A CLASS <https://gocyclenow.com> 

SPRINT PONTS RANK
1st: 20 sec 2 3
2nd: 30 sec 2 7
3rd: [SPRINT3TIME] sec [SPRINT3POINTS] [SPRINT3RANK] 

[image: Rate Rod]
RATE YOUR CYCLEPRO
Rod
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=1&id=141595788&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=2&id=141595788&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=3&id=141595788&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=4&id=141595788&iid=407089&n=Rod> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=5&id=141595788&iid=407089&n=Rod> 

WEEKLY TOTALS
504/1008
AVG / MAX CAL
1h 24m
TOTAL WORKOUT TIME
MONTHLY TOTALS
517/2585
AVG / MAX CAL
3h 35m
TOTAL WORKOUT TIME
https://gocyclenow.com • (470) 260-7746 <+1(470) 260-7746> • 
atlbeltline@rukusfranchise.com 
<https://www.facebook.com/RukusBeltLine/> 
<https://www.instagram.com/rukusbeltline> <https://twitter.com/GoCycleNow>"
10/13/2020 18:27:52,Rukus Cycling Studios - ATL Beltline <atlbeltline@rukusfranchise.com>,Rukus | Ride Results,"

RukusPrime
Oct 13th 5:45 PM @ 5:45 PM 
507
CALORIES
315
POINTS 
4
RANK
13.4mi
DISTANCE (MI) 
53 / 87
AVG/MAX RPM
134 / 223
AVG/MAX WATTS 
19.0 / 22.8
AVG/MAX mph
0 / 0
AVG/MAX HR 
MINUTES IN RPM ZONES 
3
ZONE 1
32
ZONE 2
4
ZONE 3
1
ZONE 4
0
ZONE 5 
SHARE RESULTS 
<https://www.facebook.com/dialog/share?app_id=957944997560473&display=popup&redirect_uri=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=141815714&href=https%3A%2F%2Fwww.fitmetrix.io%2FWebPortal%2FSocialResults%3FID=0c47c143-f6fd-e611-9464-0e0c69fd6629%26pa=141815714&picture=https%3A%2F%2Fwww.fitmetrix.io%2Fimages%2Fsocial%2Fsharing.png&caption=Rukus+-+ATL+Beltline&description=I%20just%20burned%20507%20calories%20in%2042%20minutes%20working%20out%20at%20Rukus 
Cycling Studios%20Rukus - ATL Beltline.> 
BOOK A CLASS <https://gocyclenow.com> 

SPRINT PONTS RANK
1st: 30 sec 2 11
2nd: 30 sec 2 9
3rd: [SPRINT3TIME] sec [SPRINT3POINTS] [SPRINT3RANK] 

[image: Rate Jenn]
RATE YOUR CYCLEPRO
Jenn
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=1&id=141815714&iid=431911&n=Jenn> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=2&id=141815714&iid=431911&n=Jenn> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=3&id=141815714&iid=431911&n=Jenn> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=4&id=141815714&iid=431911&n=Jenn> 
<https://www.fitmetrix.io/WebPortal/InstructorRating?r=5&id=141815714&iid=431911&n=Jenn> 

WEEKLY TOTALS
505/1515
AVG / MAX CAL
2h 6m
TOTAL WORKOUT TIME
MONTHLY TOTALS
515/3092
AVG / MAX CAL
4h 17m
TOTAL WORKOUT TIME
https://gocyclenow.com • (470) 260-7746 <+1(470) 260-7746> • 
atlbeltline@rukusfranchise.com 
<https://www.facebook.com/RukusBeltLine/> 
<https://www.instagram.com/rukusbeltline> <https://twitter.com/GoCycleNow>"
